Player,Year,Cluster,OffPlayer,DefPlayer
s_Shareef_Abdur-Rahim,2006,0,o_Shareef_Abdur-Rahim,d_Shareef_Abdur-Rahim
s_Alex_Acker,2006,4,o_Alex_Acker,d_Alex_Acker
s_Malik_Allen,2006,4,o_Malik_Allen,d_Malik_Allen
s_Ray_Allen,2006,1,o_Ray_Allen,d_Ray_Allen
s_Tony_Allen,2006,4,o_Tony_Allen,d_Tony_Allen
s_Rafer_Alston,2006,1,o_Rafer_Alston,d_Rafer_Alston
s_Chris_Andersen,2006,4,o_Chris_Andersen,d_Chris_Andersen
s_Alan_Anderson,2006,4,o_Alan_Anderson,d_Alan_Anderson
s_Derek_Anderson,2006,4,o_Derek_Anderson,d_Derek_Anderson
s_Shandon_Anderson,2006,4,o_Shandon_Anderson,d_Shandon_Anderson
s_Martynas_Andriuskevicius,2006,4,o_Martynas_Andriuskevicius,d_Martynas_Andriuskevicius
s_Carmelo_Anthony,2006,1,o_Carmelo_Anthony,d_Carmelo_Anthony
s_Rafael_Araujo,2006,0,o_Rafael_Araujo,d_Rafael_Araujo
s_Gilbert_Arenas,2006,1,o_Gilbert_Arenas,d_Gilbert_Arenas
s_Trevor_Ariza,2006,3,o_Trevor_Ariza,d_Trevor_Ariza
s_Darrell_Armstrong,2006,3,o_Darrell_Armstrong,d_Darrell_Armstrong
s_Carlos_Arroyo,2006,3,o_Carlos_Arroyo,d_Carlos_Arroyo
s_Chucky_Atkins,2006,0,o_Chucky_Atkins,d_Chucky_Atkins
s_Stacey_Augmon,2006,4,o_Stacey_Augmon,d_Stacey_Augmon
s_Vin_Baker,2006,2,o_Vin_Baker,d_Vin_Baker
s_Marcus_Banks,2006,0,o_Marcus_Banks,d_Marcus_Banks
s_Leandro_Barbosa,2006,3,o_Leandro_Barbosa,d_Leandro_Barbosa
s_Matt_Barnes,2006,4,o_Matt_Barnes,d_Matt_Barnes
s_Andre_Barrett,2006,2,o_Andre_Barrett,d_Andre_Barrett
s_Earl_Barron,2006,4,o_Earl_Barron,d_Earl_Barron
s_Brent_Barry,2006,3,o_Brent_Barry,d_Brent_Barry
s_Jon_Barry,2006,2,o_Jon_Barry,d_Jon_Barry
s_Eddie_Basden,2006,4,o_Eddie_Basden,d_Eddie_Basden
s_Brandon_Bass,2006,4,o_Brandon_Bass,d_Brandon_Bass
s_Esteban_Batista,2006,4,o_Esteban_Batista,d_Esteban_Batista
s_Tony_Battie,2006,1,o_Tony_Battie,d_Tony_Battie
s_Shane_Battier,2006,1,o_Shane_Battier,d_Shane_Battier
s_Lonny_Baxter,2006,4,o_Lonny_Baxter,d_Lonny_Baxter
s_Charlie_Bell,2006,3,o_Charlie_Bell,d_Charlie_Bell
s_Raja_Bell,2006,1,o_Raja_Bell,d_Raja_Bell
s_Jonathan_Bender,2006,2,o_Jonathan_Bender,d_Jonathan_Bender
s_Mike_Bibby,2006,1,o_Mike_Bibby,d_Mike_Bibby
s_Andris_Biedrins,2006,3,o_Andris_Biedrins,d_Andris_Biedrins
s_Chauncey_Billups,2006,1,o_Chauncey_Billups,d_Chauncey_Billups
s_Steve_Blake,2006,0,o_Steve_Blake,d_Steve_Blake
s_Andray_Blatche,2006,4,o_Andray_Blatche,d_Andray_Blatche
s_Mark_Blount,2006,0,o_Mark_Blount,d_Mark_Blount
s_Keith_Bogans,2006,0,o_Keith_Bogans,d_Keith_Bogans
s_Andrew_Bogut,2006,4,o_Andrew_Bogut,d_Andrew_Bogut
s_Matt_Bonner,2006,3,o_Matt_Bonner,d_Matt_Bonner
s_Calvin_Booth,2006,2,o_Calvin_Booth,d_Calvin_Booth
s_Carlos_Boozer,2006,4,o_Carlos_Boozer,d_Carlos_Boozer
s_Chris_Bosh,2006,1,o_Chris_Bosh,d_Chris_Bosh
s_Bruce_Bowen,2006,1,o_Bruce_Bowen,d_Bruce_Bowen
s_Ryan_Bowen,2006,3,o_Ryan_Bowen,d_Ryan_Bowen
s_Earl_Boykins,2006,3,o_Earl_Boykins,d_Earl_Boykins
s_Michael_Bradley,2006,4,o_Michael_Bradley,d_Michael_Bradley
s_Elton_Brand,2006,1,o_Elton_Brand,d_Elton_Brand
s_Primoz_Brezec,2006,1,o_Primoz_Brezec,d_Primoz_Brezec
s_Devin_Brown,2006,3,o_Devin_Brown,d_Devin_Brown
s_Kwame_Brown,2006,0,o_Kwame_Brown,d_Kwame_Brown
s_P.J._Brown,2006,1,o_P.J._Brown,d_P.J._Brown
s_Rick_Brunson,2006,2,o_Rick_Brunson,d_Rick_Brunson
s_Kobe_Bryant,2006,1,o_Kobe_Bryant,d_Kobe_Bryant
s_Greg_Buckner,2006,3,o_Greg_Buckner,d_Greg_Buckner
s_Pat_Burke,2006,4,o_Pat_Burke,d_Pat_Burke
s_Antonio_Burks,2006,4,o_Antonio_Burks,d_Antonio_Burks
s_Kevin_Burleson,2006,4,o_Kevin_Burleson,d_Kevin_Burleson
s_Caron_Butler,2006,0,o_Caron_Butler,d_Caron_Butler
s_Jackie_Butler,2006,4,o_Jackie_Butler,d_Jackie_Butler
s_Rasual_Butler,2006,3,o_Rasual_Butler,d_Rasual_Butler
s_Andrew_Bynum,2006,4,o_Andrew_Bynum,d_Andrew_Bynum
s_Will_Bynum,2006,4,o_Will_Bynum,d_Will_Bynum
s_Zarko_Cabarkapa,2006,3,o_Zarko_Cabarkapa,d_Zarko_Cabarkapa
s_Jose_Calderon,2006,4,o_Jose_Calderon,d_Jose_Calderon
s_Marcus_Camby,2006,0,o_Marcus_Camby,d_Marcus_Camby
s_Brian_Cardinal,2006,4,o_Brian_Cardinal,d_Brian_Cardinal
s_Matt_Carroll,2006,3,o_Matt_Carroll,d_Matt_Carroll
s_Anthony_Carter,2006,4,o_Anthony_Carter,d_Anthony_Carter
s_Vince_Carter,2006,1,o_Vince_Carter,d_Vince_Carter
s_Sam_Cassell,2006,1,o_Sam_Cassell,d_Sam_Cassell
s_Kelvin_Cato,2006,2,o_Kelvin_Cato,d_Kelvin_Cato
s_Tyson_Chandler,2006,0,o_Tyson_Chandler,d_Tyson_Chandler
s_Calbert_Cheaney,2006,4,o_Calbert_Cheaney,d_Calbert_Cheaney
s_Josh_Childress,2006,3,o_Josh_Childress,d_Josh_Childress
s_Doug_Christie,2006,2,o_Doug_Christie,d_Doug_Christie
s_Speedy_Claxton,2006,3,o_Speedy_Claxton,d_Speedy_Claxton
s_Mateen_Cleaves,2006,2,o_Mateen_Cleaves,d_Mateen_Cleaves
s_Jarron_Collins,2006,0,o_Jarron_Collins,d_Jarron_Collins
s_Jason_Collins,2006,1,o_Jason_Collins,d_Jason_Collins
s_Nick_Collison,2006,3,o_Nick_Collison,d_Nick_Collison
s_Brian_Cook,2006,0,o_Brian_Cook,d_Brian_Cook
s_Jamal_Crawford,2006,0,o_Jamal_Crawford,d_Jamal_Crawford
s_Austin_Croshere,2006,4,o_Austin_Croshere,d_Austin_Croshere
s_Eddy_Curry,2006,1,o_Eddy_Curry,d_Eddy_Curry
s_Samuel_Dalembert,2006,0,o_Samuel_Dalembert,d_Samuel_Dalembert
s_Erick_Dampier,2006,0,o_Erick_Dampier,d_Erick_Dampier
s_Antonio_Daniels,2006,3,o_Antonio_Daniels,d_Antonio_Daniels
s_Marquis_Daniels,2006,0,o_Marquis_Daniels,d_Marquis_Daniels
s_Antonio_Davis,2006,0,o_Antonio_Davis,d_Antonio_Davis
s_Baron_Davis,2006,0,o_Baron_Davis,d_Baron_Davis
s_Dale_Davis,2006,2,o_Dale_Davis,d_Dale_Davis
s_Josh_Davis,2006,2,o_Josh_Davis,d_Josh_Davis
