Player,Year,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
s_Shareef_Abdur-Rahim,2006,PF,29,72.0,30.0,27.2,4.6,8.8,0.525,0.1,0.3,0.227,4.5,8.5,0.536,0.529,3.0,3.9,0.784,1.5,3.5,5.0,2.1,0.7,0.6,1.5,3.2
s_Alex_Acker,2006,SG,23,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.281,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.0,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Malik_Allen,2006,PF,27,54.0,20.0,13.0,2.2,4.6,0.49,0.0,0.0,1.0,2.2,4.6,0.488,0.492,0.4,0.7,0.605,0.8,1.8,2.6,0.4,0.3,0.3,0.6,1.7
s_Ray_Allen,2006,SG,30,78.0,78.0,38.7,8.7,19.2,0.454,3.4,8.4,0.412,5.3,10.9,0.486,0.544,4.2,4.6,0.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9
s_Tony_Allen,2006,PG,24,51.0,9.0,19.2,2.5,5.4,0.471,0.2,0.7,0.324,2.3,4.7,0.492,0.491,2.0,2.6,0.746,0.6,1.5,2.2,1.3,1.0,0.4,1.3,2.5
s_Rafer_Alston,2006,PG,29,63.0,63.0,38.6,4.4,11.7,0.379,1.6,5.0,0.327,2.8,6.8,0.418,0.449,1.6,2.3,0.692,0.6,3.5,4.0,6.7,1.6,0.2,2.5,3.1
s_Chris_Andersen,2006,C,27,32.0,2.0,17.8,1.8,3.1,0.571,0.0,0.0,,1.8,3.1,0.571,0.571,1.5,3.2,0.476,1.9,2.9,4.8,0.2,0.3,1.3,0.8,2.6
s_Alan_Anderson,2006,SF,23,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.481,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.9,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Derek_Anderson,2006,SG,31,43.0,11.0,24.3,2.5,7.0,0.356,0.9,3.1,0.299,1.6,3.9,0.402,0.422,2.2,2.6,0.838,0.5,2.8,3.3,2.3,0.5,0.1,1.3,2.3
s_Shandon_Anderson,2006,SF,32,48.0,1.0,13.3,1.1,2.6,0.429,0.1,0.4,0.263,1.0,2.2,0.458,0.448,0.3,0.4,0.722,0.4,1.3,1.7,0.6,0.4,0.1,0.5,1.6
s_Martynas_Andriuskevicius,2006,C,19,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.0,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,0.7,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Carmelo_Anthony,2006,SF,21,80.0,80.0,36.8,9.5,19.7,0.481,0.5,1.9,0.243,9.0,17.8,0.506,0.493,7.2,8.9,0.808,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9
s_Rafael_Araujo,2006,C,25,52.0,34.0,11.6,1.0,2.8,0.366,0.0,0.0,0.0,1.0,2.8,0.368,0.366,0.3,0.5,0.536,0.8,1.9,2.8,0.3,0.5,0.1,0.8,2.0
s_Gilbert_Arenas,2006,PG,24,80.0,80.0,42.3,9.3,20.9,0.447,2.5,6.8,0.369,6.8,14.1,0.485,0.507,8.2,10.0,0.82,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6
s_Trevor_Ariza,2006,SF,20,57.0,10.0,17.5,1.6,4.0,0.412,0.0,0.1,0.2,1.6,3.9,0.416,0.414,1.4,2.2,0.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8
s_Darrell_Armstrong,2006,PG,37,62.0,2.0,10.0,0.7,2.1,0.336,0.2,0.8,0.229,0.5,1.3,0.4,0.379,0.5,0.7,0.786,0.3,1.0,1.3,1.4,0.4,0.0,0.9,1.1
s_Carlos_Arroyo,2006,PG-SG,26,77.0,0.0,15.5,2.2,4.9,0.444,0.1,0.3,0.35,2.1,4.6,0.45,0.454,1.4,1.8,0.774,0.4,1.3,1.7,3.0,0.5,0.1,1.1,1.5
s_Chucky_Atkins,2006,PG-SG,31,71.0,41.0,24.1,3.2,8.1,0.394,1.4,3.9,0.354,1.8,4.2,0.431,0.479,1.8,2.3,0.791,0.3,1.4,1.7,2.8,0.6,0.0,1.2,2.1
s_Stacey_Augmon,2006,SF,37,36.0,3.0,10.7,0.7,2.0,0.342,0.0,0.0,,0.7,2.0,0.342,0.342,0.6,0.8,0.7,0.5,1.0,1.5,0.6,0.3,0.2,0.3,1.1
s_Vin_Baker,2006,C,34,8.0,1.0,10.6,0.9,1.9,0.467,0.0,0.0,,0.9,1.9,0.467,0.467,1.6,2.3,0.722,0.3,2.1,2.4,0.5,0.5,0.5,1.1,1.6
s_Marcus_Banks,2006,PG,24,58.0,29.0,25.8,3.8,8.1,0.468,0.4,1.1,0.349,3.4,7.0,0.486,0.491,2.0,2.5,0.803,0.4,1.9,2.3,3.8,0.9,0.2,2.1,2.8
s_Leandro_Barbosa,2006,SG,23,57.0,11.0,27.9,4.8,9.9,0.481,1.5,3.4,0.444,3.3,6.5,0.501,0.558,1.9,2.6,0.755,0.5,2.1,2.6,2.8,0.8,0.1,1.6,2.5
s_Matt_Barnes,2006,PF-SF,25,56.0,5.0,11.3,1.3,2.5,0.5,0.1,0.3,0.2,1.2,2.2,0.536,0.511,0.6,0.8,0.681,0.9,1.3,2.2,0.5,0.4,0.1,0.5,1.8
s_Andre_Barrett,2006,PG,23,19.0,0.0,14.8,2.0,5.5,0.365,0.1,0.7,0.143,1.9,4.7,0.4,0.375,0.5,0.6,0.75,0.5,0.8,1.3,2.7,0.5,0.0,0.8,0.7
s_Earl_Barron,2006,C,24,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.313,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.3,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Brent_Barry,2006,SG,34,74.0,5.0,17.0,2.1,4.7,0.452,1.1,2.7,0.396,1.0,1.9,0.531,0.568,0.5,0.8,0.661,0.4,1.8,2.1,1.7,0.5,0.4,0.7,1.3
s_Jon_Barry,2006,SG,36,20.0,0.0,17.1,1.3,3.3,0.385,0.6,1.6,0.375,0.7,1.7,0.394,0.477,1.2,1.5,0.828,0.1,1.5,1.6,1.3,0.7,0.1,1.1,1.3
s_Eddie_Basden,2006,SF,22,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.419,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,1.5,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Brandon_Bass,2006,PF,20,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.4,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,2.3,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Esteban_Batista,2006,PF,22,38.5529411765,7.75294117647,12.2867500566,1.56808702003,3.63286255924,0.431639511394,0.250732715788,0.766396277957,0.327158055172,1.31735430424,2.86646628128,0.459574324263,0.425,0.809017863041,1.11466008519,0.72579782284,0.618064508989,1.38999534634,2.5,0.940068175695,0.366780005684,9.34117647059,0.749358841424,1.42862057423
s_Tony_Battie,2006,C,29,82.0,82.0,27.0,3.4,6.7,0.507,0.0,0.1,0.0,3.4,6.7,0.513,0.507,1.1,1.6,0.664,1.8,3.8,5.6,0.6,0.6,0.8,1.1,3.0
s_Shane_Battier,2006,SF,27,81.0,81.0,35.0,3.7,7.7,0.488,0.8,2.0,0.394,2.9,5.6,0.522,0.54,1.8,2.6,0.707,2.0,3.3,5.3,1.7,1.1,1.4,1.1,2.8
s_Lonny_Baxter,2006,C-PF,27,41.0,0.0,9.8,1.1,2.5,0.433,0.0,0.0,,1.1,2.5,0.433,0.433,0.7,0.9,0.8,1.1,1.8,2.9,0.1,0.3,0.2,0.5,1.4
s_Charlie_Bell,2006,SG,26,59.0,6.0,21.7,3.1,6.9,0.439,1.2,2.8,0.423,1.8,4.1,0.45,0.526,1.1,1.5,0.708,0.4,1.7,2.0,2.2,1.0,0.1,0.7,2.1
s_Raja_Bell,2006,SG,29,79.0,79.0,37.5,5.4,11.8,0.457,2.5,5.6,0.442,2.9,6.1,0.471,0.563,1.5,1.8,0.788,0.6,2.6,3.2,2.6,1.0,0.3,1.1,3.1
s_Jonathan_Bender,2006,SF,25,2.0,0.0,10.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0
s_Mike_Bibby,2006,PG,27,82.0,82.0,38.6,7.3,16.9,0.432,2.3,6.1,0.386,4.9,10.8,0.458,0.501,4.2,4.9,0.849,0.4,2.6,2.9,5.4,1.0,0.1,2.4,2.1
s_Andris_Biedrins,2006,C,19,68.0,2.0,14.7,1.7,2.7,0.638,0.0,0.0,,1.7,2.7,0.638,0.638,0.3,1.1,0.306,1.8,2.3,4.2,0.4,0.3,0.7,0.5,2.8
s_Chauncey_Billups,2006,PG,29,81.0,81.0,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3.0,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2.0
s_Steve_Blake,2006,PG,25,68.0,57.0,26.2,3.0,6.9,0.438,1.1,2.7,0.413,1.9,4.2,0.455,0.519,1.1,1.3,0.791,0.4,1.8,2.1,4.5,0.6,0.1,1.2,1.6
